hospital_id,hospital_name,hospital_address
1,New Roberttown Community Hospital,"433 Jill Springs, New Roberttown, CO 29158"
2,Port Lindachester General Hospital,"386 Shane Harbors, Port Lindachester, MA 36922"
3,New Kellystad Community Hospital,"16155 Roman Stream, New Kellystad, OK 25704"
4,Shawnstad University Hospital,"341 Michelle Light, Shawnstad, GA 49021"
5,East Lydiamouth Community Hospital,"192 Frank Light, East Lydiamouth, MO 35594"
6,Coxberg Clinic,"76724 John Points, Coxberg, NY 65187"
7,Tashatown Healthcare System,"22691 James Mountain, Tashatown, TX 94967"
8,North Shore Medical Center,"514 Moore Alley, Port Colleenhaven, PA 26572"
9,St. John Regional Medical Center,"809 Burns Creek, Natashaport, IA 08093"
10,Allisonchester Clinic,"71822 Arroyo Expressway, Allisonchester, IL 71187"
